20:30:30.3684, 23.32
20:30:36.0528, 23.26
20:30:41.7202, 23.18
20:30:47.3775, 23.07
20:30:53.0452, 23.02
20:30:58.6468, 22.97
20:31:4.3378, 22.91
20:31:9.925, 22.87
20:31:15.4716, 22.82
20:31:21.0529, 22.81
20:31:26.7158, 22.76
20:31:32.5354, 22.76
20:31:38.2536, 22.73
20:31:44.0049, 22.73
20:31:49.76, 22.73
20:31:55.3832, 22.7
20:32:1.1867, 22.69
20:32:6.9149, 22.68
20:32:12.6517, 22.7
20:32:17.6627, 22.67
20:32:22.7003, 22.68
20:32:27.7157, 22.7
20:32:32.7427, 22.72
20:32:38.4724, 22.74
20:32:43.4684, 22.74
20:32:49.2818, 22.73
20:32:55.0113, 22.75
20:33:0.785, 22.76
20:33:5.8059, 22.75
20:33:11.6126, 22.77
20:33:17.3581, 22.75
20:33:22.3624, 22.78
20:33:27.3915, 22.84
20:33:32.3953, 22.84
20:33:37.3899, 22.84
20:33:42.4126, 22.84
20:33:48.1, 22.88
20:33:53.1176, 22.88
20:33:58.9155, 22.86
20:34:3.9323, 22.89
20:34:9.6384, 22.92
20:34:14.6404, 22.91
20:34:19.6563, 22.88
20:34:25.4848, 22.88
20:34:31.2109, 22.92
20:34:36.8251, 22.92
20:34:42.4837, 22.93
20:34:48.3231, 22.93
20:34:54.1059, 22.91
20:34:59.8517, 22.91
20:35:5.6037, 22.94
20:35:11.4129, 22.92
20:35:17.1957, 22.93
20:35:22.8495, 22.96
20:35:28.6751, 22.97
20:35:33.6935, 23.0
20:35:38.7332, 23.0
20:35:44.5593, 23.0
20:35:49.581, 23.01
20:35:54.5941, 23.0
20:35:59.6328, 22.99
20:36:4.6497, 23.02
20:36:10.4777, 23.01
20:36:16.2986, 23.03
20:36:22.1264, 23.03
20:36:27.1292, 23.01
20:36:32.1628, 23.02
20:36:37.1923, 23.03
20:36:42.198, 23.03
20:36:47.2238, 23.06
20:36:53.0378, 23.08
20:36:58.0616, 23.07
20:37:3.0647, 23.08
20:37:8.1006, 23.07
20:37:13.9127, 23.07
20:37:19.6885, 23.05
20:37:24.7206, 23.07
20:37:29.7591, 23.06
20:37:34.7978, 23.06
20:37:39.8376, 23.09
20:37:44.8754, 23.06
20:37:49.9141, 23.1
20:37:54.9529, 23.08
20:37:59.9924, 23.08
20:38:5.0308, 23.1
20:38:10.0691, 23.12
20:38:15.108, 23.12
20:38:20.1484, 23.12
20:38:25.1855, 23.14
20:38:30.2248, 23.14
20:38:35.2597, 23.14
20:38:40.986, 23.16
20:38:46.8034, 23.16
20:38:51.8436, 23.15
20:38:57.5757, 23.13
20:39:3.2737, 23.11
20:39:9.0013, 23.1
20:39:14.7325, 23.1
20:39:20.5005, 23.09
20:39:26.1846, 23.09
20:39:31.9429, 23.1
20:39:37.6308, 23.07
20:39:42.7756, 23.06
20:39:48.4751, 23.11
20:39:54.2091, 23.12
20:39:59.9222, 23.11
20:40:5.5541, 23.15
20:40:11.2766, 23.12
20:40:16.863, 23.12
20:40:22.5357, 23.1
20:40:27.5462, 23.12
20:40:33.3257, 23.11
20:40:38.3945, 23.12
20:40:44.1913, 23.13
20:40:49.2112, 23.12
20:40:54.209, 23.13
20:40:59.2543, 23.14
20:41:4.2743, 23.14
20:41:9.2973, 23.16
20:41:15.1141, 23.16
20:41:20.8897, 23.16
20:41:25.9536, 23.18
20:41:31.0711, 23.19
20:41:36.8164, 23.18
20:41:41.8571, 23.18
20:41:46.9978, 23.16
20:41:52.0407, 23.17
20:41:57.135, 23.16
20:42:2.1548, 23.2
20:42:7.1499, 23.21
20:42:12.9707, 23.19
20:42:17.9878, 23.22
20:42:23.7378, 23.2
20:42:29.3527, 23.18
20:42:35.128, 23.18
20:42:40.8589, 23.15
20:42:45.8882, 23.15
20:42:50.9268, 23.15
20:42:56.7038, 23.11
20:43:2.3594, 23.12
20:43:8.0097, 23.11
20:43:13.6366, 23.12
20:43:19.2763, 23.12
20:43:24.9149, 23.15
20:43:36.1201, 23.19
20:43:41.829, 23.22
20:43:47.5927, 23.21
20:43:53.404, 23.23
20:43:58.4138, 23.24
20:44:3.4404, 23.24
20:44:9.1627, 23.22
20:44:14.6568, 23.19
20:44:20.0205, 23.15
20:44:25.5231, 23.16
20:44:30.9458, 23.15
20:44:36.3741, 23.14
20:44:41.8778, 23.17
20:44:47.5105, 23.18
20:44:53.2467, 23.19
20:44:58.8411, 23.21
20:45:4.3945, 23.2
20:45:9.8601, 23.18
20:45:15.5134, 23.16
20:45:21.1601, 23.19
20:45:26.7544, 23.19
20:45:32.4168, 23.19
20:45:38.0187, 23.21
20:45:43.5796, 23.19
20:45:49.1111, 23.18
20:45:54.7262, 23.21
20:46:0.436, 23.19
20:46:6.1736, 23.22
20:46:11.9558, 23.2
20:46:17.6419, 23.22
20:46:23.2654, 23.23
20:46:28.8397, 23.18
20:46:34.3942, 23.18
20:46:39.9729, 23.19
20:46:45.635, 23.19
20:46:51.406, 23.18
20:46:57.1409, 23.2
20:47:2.849, 23.22
20:47:8.579, 23.18
20:47:14.3661, 23.2
20:47:20.118, 23.21
20:47:25.749, 23.19
20:47:31.2865, 23.2
20:47:36.7058, 23.19
20:47:42.1301, 23.18
20:47:47.7148, 23.18
20:47:53.1402, 23.18
20:48:3.9155, 23.18
20:48:9.3023, 23.2
20:48:14.6997, 23.2
20:48:20.1065, 23.2
20:48:25.5112, 23.2
20:48:30.9113, 23.2
20:48:36.3593, 23.2
20:48:41.7469, 23.18
20:48:47.1501, 23.19
20:48:52.5469, 23.22
20:48:57.9606, 23.21
20:49:3.3678, 23.24
20:49:8.7755, 23.23
20:49:14.1833, 23.21
20:49:19.5885, 23.23
20:49:24.99, 23.2
20:49:30.3205, 23.22
20:49:35.6926, 23.22
20:49:41.0772, 23.22
20:49:46.4718, 23.2
20:49:51.8821, 23.19
20:49:57.2991, 23.22
20:50:2.7063, 23.22
20:50:8.0765, 23.19
20:50:13.3951, 23.2
20:50:18.7805, 23.18
20:50:24.1821, 23.19
20:50:29.5785, 23.18
20:50:34.9938, 23.18
20:50:40.4525, 23.21
20:50:45.8739, 23.19
20:50:51.2989, 23.18
20:50:56.6928, 23.18
20:51:2.1261, 23.18
20:51:7.5514, 23.19
20:51:12.9677, 23.15
20:51:18.3709, 23.19
20:51:23.771, 23.16
20:51:29.1699, 23.15
20:51:34.5731, 23.19
20:51:39.9639, 23.18
20:51:45.3579, 23.16
20:51:50.7624, 23.15
20:51:56.2062, 23.16
